,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
29,Squad Total,,,27.9,29.0,319,2610.0,29.0,69.0,51.0,120.0,60.0,9.0,9.0,56.0,2.0,65.0,58.0,47.2,105.2,635.0,1441.0,1430.0,2.38,1.76,4.14,2.07,3.83,2.24,1.63,3.87,2.0,3.63
30,Opponent Total,,,26.8,29.0,319,2610.0,29.0,27.0,21.0,48.0,27.0,0.0,1.0,69.0,1.0,25.1,24.2,19.1,43.3,510.0,877.0,861.0,0.93,0.72,1.66,0.93,1.66,0.87,0.66,1.53,0.83,1.49
0,David Raya,es ESP,GK,29-189,,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,William Saliba,fr FRA,DF,23-364,,27,2364.0,26.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.1,2.1,0.5,2.6,13.0,113.0,6.0,0.08,0.0,0.08,0.08,0.08,0.08,0.02,0.1,0.08,0.1
2,Gabriel Magalhães,br BRA,DF,27-094,,27,2348.0,26.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.9,3.5,10.0,124.0,11.0,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13
3,Jurriën Timber,nl NED,DF,23-279,,25,2199.0,24.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.8,1.5,51.0,134.0,97.0,0.04,0.08,0.12,0.04,0.12,0.03,0.03,0.06,0.03,0.06
4,Declan Rice,eng ENG,MF,26-068,,25,2156.0,24.0,2.0,5.0,7.0,2.0,0.0,0.0,5.0,1.0,2.0,2.0,5.7,7.7,75.0,149.0,76.0,0.08,0.21,0.29,0.08,0.29,0.08,0.24,0.32,0.08,0.32
5,Thomas Partey,gh GHA,"MF,DF",31-283,,24,2189.0,24.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.7,1.7,1.9,3.6,29.0,150.0,37.0,0.12,0.08,0.21,0.12,0.21,0.07,0.08,0.15,0.07,0.15
6,Leandro Trossard,be BEL,FW,30-109,,21,1897.0,21.1,4.0,5.0,9.0,4.0,0.0,0.0,4.0,1.0,5.1,5.1,5.0,10.1,64.0,81.0,172.0,0.19,0.24,0.43,0.19,0.43,0.24,0.24,0.48,0.24,0.48
7,Kai Havertz,de GER,"FW,MF",25-285,,21,1839.0,20.4,9.0,3.0,12.0,9.0,0.0,0.0,4.0,0.0,9.4,9.4,2.4,11.8,34.0,59.0,110.0,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58
8,Martin Ødegaard,no NOR,MF,26-096,,20,1726.0,19.2,2.0,4.0,6.0,1.0,1.0,1.0,3.0,0.0,3.7,2.9,3.7,6.7,62.0,185.0,118.0,0.1,0.21,0.31,0.05,0.26,0.19,0.19,0.39,0.15,0.35
9,Gabriel Martinelli,br BRA,"FW,MF",23-278,,17,1569.0,17.4,6.0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,4.5,4.5,3.0,7.5,87.0,32.0,199.0,0.34,0.17,0.52,0.34,0.52,0.26,0.17,0.43,0.26,0.43
10,Bukayo Saka,eng ENG,"FW,MF",23-199,,16,1268.0,14.1,5.0,10.0,15.0,4.0,1.0,1.0,3.0,0.0,4.2,3.4,5.8,9.2,72.0,53.0,195.0,0.35,0.71,1.06,0.28,0.99,0.3,0.41,0.71,0.24,0.65
11,Mikel Merino,es ESP,"MF,FW",28-274,,12,1149.0,12.8,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,3.7,3.7,1.4,5.1,7.0,53.0,70.0,0.39,0.08,0.47,0.39,0.47,0.29,0.11,0.4,0.29,0.4
