,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
9,Pedro Neto,pt POR,FW,25-014,26.0,16,1531.0,17.0,3.0,4.0,7.0,3.0,0.0,0.0,7.0,0.0,2.0,2.0,4.3,6.4,91.0,39.0,147.0,0.18,0.24,0.41,0.18,0.41,0.12,0.25,0.37,0.12,0.37
10,Jadon Sancho,eng ENG,FW,24-363,23.0,16,1430.0,15.9,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,3.2,4.8,83.0,71.0,177.0,0.13,0.25,0.38,0.13,0.38,0.1,0.2,0.3,0.1,0.3
11,Wesley Fofana,fr FRA,DF,24-096,14.0,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,19.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06
12,Tosin Adarabioyo,eng ENG,DF,27-180,16.0,11,1091.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,5.0,30.0,1.0,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09
13,Christopher Nkunku,fr FRA,FW,27-129,25.0,8,872.0,9.7,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.7,4.6,2.0,6.6,16.0,25.0,64.0,0.31,0.21,0.52,0.31,0.52,0.48,0.21,0.69,0.48,0.69
14,Reece James,eng ENG,"DF,MF",25-105,11.0,8,681.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,5.0,42.0,7.0,0.13,0.0,0.13,0.13,0.13,0.02,0.04,0.06,0.02,0.06
15,Roméo Lavia,be BEL,MF,21-076,11.0,8,541.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,3.0,18.0,6.0,0.0,0.17,0.17,0.0,0.17,0.03,0.11,0.14,0.03,0.14
16,Filip Jørgensen,dk DEN,GK,22-341,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Axel Disasi,fr FRA,DF,27-012,6.0,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,6.0,16.0,2.0,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09
18,Trevoh Chalobah,eng ENG,DF,25-261,6.0,4,296.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,2.0,12.0,0.0,0.0,0.3,0.3,0.0,0.3,0.07,0.34,0.41,0.07,0.41
19,João Félix,pt POR,"FW,MF",25-133,12.0,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.2,21.0,26.0,30.0,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78
20,Benoît Badiashile,fr FRA,DF,23-362,5.0,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Joshua Acheampong,eng ENG,DF,18-322,4.0,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
22,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-198,9.0,1,199.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,1.2,5.0,11.0,9.0,0.0,0.45,0.45,0.0,0.45,0.1,0.45,0.55,0.1,0.55
23,Renato Veiga,pt POR,"DF,MF",21-237,7.0,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
24,Mykhailo Mudryk,ua UKR,FW,24-077,7.0,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73
25,Tyrique George,eng ENG,FW,19-047,5.0,0,89.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,9.0,2.0,16.0,0.0,1.01,1.01,0.0,1.01,0.13,0.73,0.86,0.13,0.86
26,Marc Guiu,es ESP,FW,19-078,3.0,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
27,Mathis Amougou,fr FRA,MF,19-064,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Shumaira Mheuka,eng ENG,MF,17-154,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06
29,Aaron Anselmino,ar ARG,DF,19-328,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Genesis Antwi,se SWE,MF,17-316,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Marcus Bettinelli,eng ENG,GK,32-303,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cesare Casadei,it ITA,MF,22-072,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Samuel Rak-Sakyi,eng ENG,MF,19-361,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ishé Samuels-Smith,eng ENG,DF,18-291,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Squad Total,,,24.3,29.0,319,2610.0,29.0,52.0,40.0,92.0,49.0,3.0,4.0,81.0,1.0,55.9,52.7,42.9,95.7,667.0,1199.0,1185.0,1.79,1.38,3.17,1.69,3.07,1.93,1.48,3.41,1.82,3.3
36,Opponent Total,,,27.1,29.0,319,2610.0,29.0,37.0,27.0,64.0,32.0,5.0,6.0,75.0,2.0,39.5,34.7,29.0,63.7,458.0,884.0,875.0,1.28,0.93,2.21,1.1,2.03,1.36,1.0,2.36,1.2,2.2
0,Erling Haaland,no NOR,FW,24-245,,28,2480.0,27.6,21.0,3.0,24.0,19.0,2.0,3.0,2.0,0.0,20.8,18.4,2.8,21.2,19.0,18.0,103.0,0.76,0.11,0.87,0.69,0.8,0.76,0.1,0.86,0.67,0.77
1,Joško Gvardiol,hr CRO,DF,23-059,,27,2468.0,27.4,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,4.2,3.8,1.9,5.8,73.0,205.0,95.0,0.18,0.0,0.18,0.18,0.18,0.15,0.07,0.22,0.14,0.21
2,Bernardo Silva,pt POR,"MF,FW",30-225,,22,2041.0,22.7,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,3.0,3.0,4.2,7.2,82.0,97.0,169.0,0.09,0.18,0.26,0.09,0.26,0.13,0.18,0.32,0.13,0.32
3,Manuel Akanji,ch SUI,DF,29-247,,20,1707.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.1,38.0,135.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
4,Ederson,br BRA,GK,31-218,,19,1710.0,19.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,0.8,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.04,0.04,0.0,0.04
5,Rico Lewis,eng ENG,"DF,MF",20-122,,19,1702.0,18.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,0.3,1.7,36.0,97.0,63.0,0.05,0.11,0.16,0.05,0.16,0.07,0.02,0.09,0.07,0.09
6,Mateo Kovačić,hr CRO,MF,30-321,,19,1681.0,18.7,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,1.4,1.4,3.4,4.8,44.0,122.0,14.0,0.21,0.05,0.27,0.21,0.27,0.08,0.18,0.26,0.08,0.26
7,Sávio,br BRA,"FW,MF",20-347,,19,1564.0,17.4,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,4.6,4.6,5.7,10.3,125.0,62.0,214.0,0.06,0.4,0.46,0.06,0.46,0.27,0.33,0.6,0.27,0.6
8,Phil Foden,eng ENG,"MF,FW",24-299,,18,1629.0,18.1,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,4.9,4.9,4.7,9.5,46.0,94.0,116.0,0.39,0.11,0.5,0.39,0.5,0.27,0.26,0.53,0.27,0.53
9,İlkay Gündoğan,de GER,MF,34-150,,17,1535.0,17.1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.7,1.7,2.3,4.1,40.0,98.0,63.0,0.0,0.18,0.18,0.0,0.18,0.1,0.14,0.24,0.1,0.24
10,Rúben Dias,pt POR,DF,27-313,,16,1461.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,0.3,1.5,28.0,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.09,0.08,0.09
11,Jeremy Doku,be BEL,"FW,MF",22-300,,13,1163.0,12.9,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.2,4.2,157.0,55.0,206.0,0.23,0.31,0.54,0.23,0.54,0.07,0.25,0.32,0.07,0.32
12,Kevin De Bruyne,be BEL,MF,33-268,,12,1103.0,12.3,2.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,6.1,8.8,38.0,113.0,105.0,0.16,0.49,0.65,0.16,0.65,0.22,0.5,0.71,0.22,0.71
13,Matheus Nunes,pt POR,"DF,MF",26-208,,12,1044.0,11.6,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,3.3,3.9,43.0,45.0,127.0,0.0,0.34,0.34,0.0,0.34,0.05,0.29,0.33,0.05,0.33
14,Stefan Ortega,de GER,GK,32-137,,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Kyle Walker,eng ENG,DF,34-299,,9,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.6,12.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
16,Nathan Aké,nl NED,DF,30-033,,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,12.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
17,Jack Grealish,eng ENG,"FW,MF",29-194,,6,609.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.7,2.4,66.0,43.0,111.0,0.0,0.15,0.15,0.0,0.15,0.12,0.25,0.36,0.12,0.36
18,John Stones,eng ENG,"DF,MF",30-299,,6,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,10.0,21.0,2.0,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08
19,Abdukodir Khusanov,uz UZB,DF,21-022,,6,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
20,Omar Marmoush,eg EGY,"MF,FW",26-044,,6,475.0,5.3,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,2.1,11.0,15.0,34.0,0.76,0.0,0.76,0.76,0.76,0.22,0.19,0.4,0.22,0.4
21,Nicolás González,es ESP,MF,23-079,,5,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,5.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07
22,Jahmai Simpson-Pusey,eng ENG,DF,19-139,,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rodri,es ESP,MF,28-274,,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
24,James Mcatee,eng ENG,"MF,FW",22-156,,0,130.0,1.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.3,4.0,3.0,12.0,1.38,0.0,1.38,1.38,1.38,0.93,0.0,0.93,0.93,0.93
25,Divin Mubama,eng ENG,FW,20-149,,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
26,Nico O’Reilly,eng ENG,"MF,DF",20-002,,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
27,Max Alleyne,eng ENG,DF,19-208,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thorsten Brits,eng ENG,GK,17-272,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Scott Carson,eng ENG,GK,39-201,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Issa Kaboré,bf BFA,"DF,MF",23-315,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Vitor Reis,br BRA,DF,19-070,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Josh Wilson-Esbrand,eng ENG,DF,22-087,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jacob Wright,eng ENG,MF,19-183,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Squad Total,,,27.5,,319,2610.0,29.0,54.0,40.0,94.0,52.0,2.0,3.0,50.0,1.0,51.4,49.0,42.2,91.2,892.0,1489.0,1470.0,1.86,1.38,3.24,1.79,3.17,1.77,1.46,3.23,1.69,3.14
35,Opponent Total,,,26.8,,319,2610.0,29.0,38.0,30.0,68.0,35.0,3.0,3.0,66.0,1.0,39.4,37.0,31.8,68.9,446.0,713.0,706.0,1.31,1.03,2.34,1.21,2.24,1.36,1.1,2.46,1.28,2.37
0,Bruno Guimarães,br BRA,MF,27-127,28.0,28,2423.0,26.9,3.0,6.0,9.0,3.0,0.0,0.0,4.0,0.0,2.8,2.8,5.1,7.9,39.0,197.0,63.0,0.11,0.22,0.33,0.11,0.33,0.1,0.19,0.29,0.1,0.29
1,Dan Burn,eng ENG,DF,32-318,27.0,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,0.5,1.5,6.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
2,Anthony Gordon,eng ENG,FW,24-027,26.0,25,2108.0,23.4,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,7.8,6.3,4.9,11.2,104.0,88.0,187.0,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48
3,Alexander Isak,se SWE,FW,25-183,25.0,25,2052.0,22.8,19.0,5.0,24.0,17.0,2.0,2.0,1.0,0.0,15.6,14.0,3.8,17.7,64.0,61.0,164.0,0.83,0.22,1.05,0.75,0.96,0.68,0.17,0.85,0.61,0.78
4,Lewis Hall,eng ENG,DF,20-196,27.0,24,2189.0,24.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,4.3,4.7,41.0,123.0,80.0,0.0,0.16,0.16,0.0,0.16,0.02,0.18,0.19,0.02,0.19
5,Joelinton,br BRA,"MF,FW",28-221,24.0,24,2004.0,22.3,4.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,3.7,3.7,1.6,5.3,35.0,104.0,97.0,0.18,0.04,0.22,0.18,0.22,0.17,0.07,0.24,0.17,0.24
6,Fabian Schär,ch SUI,DF,33-093,24.0,23,2052.0,22.8,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.6,1.6,0.3,1.9,12.0,74.0,16.0,0.09,0.0,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08
7,Valentino Livramento,eng ENG,DF,22-131,27.0,22,1940.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.1,1.3,50.0,103.0,73.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
8,Jacob Murphy,eng ENG,FW,30-027,25.0,21,1680.0,18.7,5.0,8.0,13.0,5.0,0.0,0.0,3.0,0.0,3.8,3.8,6.3,10.1,57.0,56.0,152.0,0.27,0.43,0.7,0.27,0.7,0.2,0.34,0.54,0.2,0.54
9,Sandro Tonali,it ITA,MF,24-319,26.0,18,1730.0,19.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.1,3.1,0.6,3.7,28.0,79.0,35.0,0.05,0.05,0.1,0.05,0.1,0.16,0.03,0.19,0.16,0.19
10,Nick Pope,eng ENG,GK,32-338,18.0,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Martin Dúbravka,sk SVK,GK,36-067,10.0,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Joe Willock,eng ENG,"MF,FW",25-215,25.0,9,818.0,9.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.6,2.5,28.0,34.0,67.0,0.0,0.22,0.22,0.0,0.22,0.09,0.18,0.27,0.09,0.27
13,Sean Longstaff,eng ENG,MF,27-144,21.0,8,746.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.8,4.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09
14,Harvey Barnes,eng ENG,FW,27-104,23.0,7,903.0,10.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,3.4,3.4,2.9,6.4,48.0,45.0,94.0,0.5,0.2,0.7,0.5,0.7,0.34,0.29,0.63,0.34,0.63
15,Kieran Trippier,eng ENG,DF,34-185,17.0,7,698.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,15.0,48.0,29.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.01,0.07
16,Lloyd Kelly,eng ENG,DF,26-168,10.0,4,303.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,0.0,9.0,5.0,0.0,0.3,0.3,0.0,0.3,0.12,0.14,0.26,0.12,0.26
17,Sven Botman,nl NED,DF,25-070,3.0,3,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
18,Emil Krafth,se SWE,DF,30-233,4.0,2,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05
19,Lewis Miley,eng ENG,MF,18-326,8.0,1,192.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,1.0,12.0,4.0,0.47,0.0,0.47,0.47,0.47,0.25,0.01,0.27,0.25,0.27
20,Callum Wilson,eng ENG,"FW,MF",33-024,8.0,1,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
21,Miguel Almirón,py PAR,FW,31-041,9.0,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,3.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45
22,William Osula,dk DEN,FW,21-231,10.0,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11
23,Matt Targett,eng ENG,DF,29-186,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Alex Murphy,ie IRL,DF,20-271,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sean Neave,eng ENG,FW,17-300,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,John Ruddy,eng ENG,GK,38-150,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Odisseas Vlachodimos,gr GRE,GK,30-331,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Squad Total,,,27.8,28.0,308,2520.0,28.0,46.0,35.0,81.0,43.0,3.0,4.0,52.0,1.0,46.3,43.1,34.5,77.6,539.0,1127.0,1120.0,1.64,1.25,2.89,1.54,2.79,1.65,1.23,2.88,1.54,2.77
29,Opponent Total,,,27.0,28.0,308,2520.0,28.0,37.0,34.0,71.0,37.0,0.0,0.0,73.0,1.0,35.4,35.4,28.5,63.9,520.0,1012.0,1003.0,1.32,1.21,2.54,1.32,2.54,1.26,1.02,2.28,1.26,2.28
0,Bart Verbruggen,nl NED,GK,22-217,,27,2430.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0
1,Jan Paul van Hecke,nl NED,DF,24-288,,26,2330.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.5,2.7,45.0,184.0,5.0,0.04,0.04,0.08,0.04,0.08,0.05,0.06,0.1,0.05,0.1
2,Kaoru Mitoma,jp JPN,"FW,MF",27-307,,26,2315.0,25.7,7.0,3.0,10.0,7.0,0.0,0.0,1.0,0.0,7.3,7.3,4.3,11.6,127.0,75.0,258.0,0.27,0.12,0.39,0.27,0.39,0.28,0.17,0.45,0.28,0.45
3,Carlos Baleba,cm CMR,MF,21-079,,23,1948.0,21.6,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,2.9,2.9,1.1,4.0,33.0,95.0,25.0,0.09,0.05,0.14,0.09,0.14,0.13,0.05,0.18,0.13,0.18
4,João Pedro,br BRA,"FW,MF",23-178,,20,1699.0,18.9,8.0,6.0,14.0,5.0,3.0,3.0,4.0,0.0,7.1,4.7,4.3,9.0,60.0,65.0,110.0,0.42,0.32,0.74,0.26,0.58,0.37,0.23,0.6,0.25,0.47
5,Georginio Rutter,fr FRA,"MF,FW",22-337,,19,1656.0,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,4.6,4.6,2.5,7.1,42.0,67.0,79.0,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39
6,Joël Veltman,nl NED,DF,33-067,,19,1643.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.5,0.9,29.0,79.0,32.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05
7,Pervis Estupiñán,ec ECU,DF,27-061,,18,1692.0,18.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,1.8,2.5,43.0,76.0,83.0,0.05,0.05,0.11,0.05,0.11,0.03,0.1,0.13,0.03,0.13
8,Lewis Dunk,eng ENG,DF,33-122,,17,1562.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.2,17.0,111.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
9,Danny Welbeck,eng ENG,FW,34-117,,17,1487.0,16.5,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,6.7,6.7,1.0,7.7,17.0,34.0,59.0,0.42,0.24,0.67,0.42,0.67,0.4,0.06,0.46,0.4,0.46
10,Yasin Ayari,se SWE,MF,21-168,,16,1443.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,2.1,3.6,20.0,53.0,53.0,0.0,0.06,0.06,0.0,0.06,0.09,0.13,0.22,0.09,0.22
11,Jack Hinshelwood,eng ENG,"DF,MF",19-346,,15,1255.0,13.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,0.8,2.1,13.0,45.0,34.0,0.14,0.0,0.14,0.14,0.14,0.1,0.05,0.15,0.1,0.15
12,Yankuba Minteh,gm GAM,"FW,MF",20-244,,13,1266.0,14.1,5.0,3.0,8.0,5.0,0.0,0.0,6.0,0.0,3.3,3.3,4.0,7.3,57.0,27.0,136.0,0.36,0.21,0.57,0.36,0.57,0.23,0.28,0.52,0.23,0.52
13,Igor,br BRA,DF,27-044,,9,903.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,0.2,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
14,Tariq Lamptey,gh GHA,DF,24-174,,9,765.0,8.5,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,25.0,12.0,40.0,0.24,0.24,0.47,0.24,0.47,0.05,0.09,0.14,0.05,0.14
15,Adam Webster,eng ENG,DF,30-078,,8,617.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.08
16,Simon Adingra,ci CIV,"FW,MF",23-081,,6,625.0,6.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1,2.6,23.0,10.0,81.0,0.29,0.14,0.43,0.29,0.43,0.22,0.16,0.37,0.22,0.37
